Record_ID,Customer_Name,City,State,Region,Category,Sub_Category,Transaction_Date,Quantity,Unit_Price,Discount,Revenue,Profit,Rating,Status
INS1000,John Villa,Christineside,Louisiana,North,C,Type3,2025-01-02,7,585.46,0.2,1334.3,3706.45,3.2,Pending
INS1001,Robert Chase,Griffithmouth,New Hampshire,West,D,Type3,2025-12-13,11,582.97,0.19,6848.45,-96.23,4.2,Pending
INS1002,Javier Huber,North Jessicaville,Washington,North,C,Type3,2026-04-12,5,575.14,0.1,2352.85,2630.74,4.9,Cancelled
INS1003,Brian Scott,Munozchester,Mississippi,North,D,Type3,2025-04-26,6,625.01,0.1,4367.53,2502.25,2.8,Completed
INS1004,Sheila Hawkins,Lake Gregorystad,California,South,C,Type2,2025-11-01,15,269.82,,1766.72,4272.47,2.4,Pending
INS1005,Chelsea Barry,Port Anthonyland,Texas,West,A,Type3,2025-08-28,2,345.2,0.22,6197.59,1249.87,4.2,Completed
INS1006,Scott Stewart,Lawrenceland,North Dakota,West,D,Type1,2023-08-15,1,79.76,0.13,6281.05,1172.49,2.1,Pending
INS1007,Erin Lucas,Lake Sean,Texas,South,D,Type3,2024-12-08,7,575.3,0.04,8579.06,17.68,2.8,Completed
INS1008,Brandon Higgins,Brandonberg,Mississippi,South,C,Type2,2026-03-20,19,246.5,0.28,9854.75,2487.91,1.7,Completed
INS1009,Kelly Wood,West Katherine,Indiana,East,D,Type2,2025-05-07,8,179.72,,9023.72,-367.89,4.1,Completed
INS1010,David Williams,Robertsonton,Maine,North,B,Type2,2026-01-28,3,835.05,0.14,8245.92,4654.02,2.7,Completed
INS1011,Kimberly Barber,North Anthony,Oregon,South,D,Type1,2025-06-18,12,586.07,0.15,8845.19,803.43,3.4,Pending
INS1012,Jennifer Moreno,Jenniferchester,Wyoming,North,C,Type2,2023-12-31,14,562.72,0.21,632.58,1945.67,1.6,Completed
INS1013,Kara Garcia,Johnsonburgh,Wyoming,East,D,Type1,2024-05-16,1,164.44,0.09,7639.63,351.73,4.7,Cancelled
INS1014,Tim Hunter,Lake Taylor,Maryland,South,A,Type1,2023-07-23,13,450.35,0.23,3759.05,,5.0,Pending
INS1015,Leon Hardy,Robertsberg,Tennessee,West,B,Type3,2024-05-06,5,559.63,0.0,1964.8,4519.72,2.6,Pending
INS1016,Michelle Medina MD,Laraborough,Kentucky,East,A,Type2,2025-11-29,15,443.63,0.22,4380.51,4890.12,4.4,Completed
INS1017,Sarah Mejia,Ryanhaven,Alaska,North,A,Type3,2025-03-22,2,538.53,0.05,1241.46,1067.77,1.6,Cancelled
INS1018,Annette Moreno,Patrickton,Alaska,South,A,Type1,2024-02-04,5,24.73,0.06,2754.65,3992.71,4.0,Pending
INS1019,Rebecca Palmer,Lynchberg,Alaska,West,B,Type2,2025-02-16,13,207.55,0.16,4186.38,392.45,4.3,Pending
INS1020,Crystal Jones,Watsonview,Idaho,North,C,Type3,2023-10-24,16,224.68,0.09,5915.08,257.29,3.2,Cancelled
INS1021,Jeffery Pierce,Robertsville,Delaware,West,C,Type2,2026-01-17,4,384.35,0.04,9349.83,254.4,3.3,Completed
INS1022,Summer Miller,New Tiffanyside,New Mexico,East,C,Type3,2024-05-06,6,941.35,,830.39,4683.45,4.1,Cancelled
INS1023,Mr. Hector Morgan,North Kristin,Missouri,East,D,Type3,2025-11-01,18,545.79,0.27,6247.14,3350.44,2.0,Pending
